letter,count_all,count_uppercase,percentage
a,100,5,7.73
b,11,3,0.85
c,24,0,1.85
d,47,0,3.63
e,165,5,12.75
f,64,6,4.95
g,25,11,1.93
h,60,0,4.64
i,38,0,2.94
j,4,0,0.31
l,54,5,4.17
m,20,0,1.55
n,59,5,4.56
o,96,27,7.42
p,12,3,0.93
q,3,25,0.23
r,116,0,8.96
s,81,0,6.26
t,98,12,7.57
u,20,0,1.55
v,5,0,0.39
w,73,3,5.64
y,9,0,0.7
